No.	Certification#	Certification#	Entity	Owner	Finca	Beneficio	Department	Municipality	Canton	Operations	TotalArea	CultivationArea	Production(kg/green)	MaximumQty(kg)	Annual%Sold	Cycle%Sold	Latitude	Longitude	OriginalCertDate	Program	Status	YearOfCert	ExpirationDate			
96	SFC-F-01170	SFC-F-01170	La Montaña	"Inversiones DORESTA, S.A. de C.V.      "	1	0	Ahuachapan	Ahuachapan	San Ramon 	1	18.22	16.8	17045	21818	0.95	0.95	13.8942	-89.84077	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2006	01/31/13			
97	SFC-C-02183	SFC-F-02185	Beneficio Buena Vista	"Inversiones El Olvido, S.A. de C.V."	0	1	La Libertad	Santa Tecla	Buena Vista	1	N/A	N/A	N/A	30941	0	0	13.69095	-89.28294	"Jul 28,12"	Rainforest Alliance CertifiedTM	CdC	2010	07/28/12			
98		SFC-F-02185	Finca El Olvido	"Inversiones El Olvido, S.A. de C.V."	1	0								30941	0	0	13.74215	-89.26875	"Jul 28,12"							
99	SFC-F-01297	SFC-F-01297	Santa Julia	"Inversiones Mano, S.A de C.V"	1	0	San Salvador	San Marcos	Lamatepec	1	74.2	59.7	113636	113636	0	0	13.67211	-88.17317	"Dec 31,12"	Rainforest Alliance CertifiedTM	Certificada	2005	12/31/13			
100	SFC-F-01817	SFC-F-01817	Monte Carmelo	"Inversiones Polar, S.A. de C.V."	1	0	La Libertad	Santa Tecla	San Gerónimo Los Planes	1	22.75	22.4	16510	16509.96	1.17	0.82	13.75009	-89.26703	"Oct 31,11"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
101	SFC-C-02769  	#N/A	Beneficio Las Tres Puertas	"J. Hill y Compañía, S.A. de C.V."	0	1	Santa Ana	Santa Ana	Zacarias	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2005	11/30/13			
102	SFC-F-02745	SFC-F-02745	Colombia	Jaime Alvarez y Cia	1	0	La Libertad	Quezaltepeque	Primavera	1	50.05	41.3	29545	29545	1.07	1.07	13.80739	-89.29768	"Jan 11,13"	Rainforest Alliance CertifiedTM	Certificada	2011	10/31/13			
103	SFC-F-01693	SFC-F-01693	Santa Rita	"JASAL, S.A. de C.V."	1	0	Sonsonate	Juayua 	Los Naranjos	1	113.74	110.52	81647	95454	0.77	0.77	13.87259	-89.67218	"Feb 02,13"	Rainforest Alliance CertifiedTM	Certificada	2010	02/02/13			
104	SFC-F-04001	SFC-F-04001	Santa Maria	"JF Aguilar y Cia, S.A. de C.V."	1	0	San Salvador	Apopa	Las Delicias	1	52	38	50000	54545	0.35	0.35	13.75165	-89.24216	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2012	01/31/13			
105		#N/A	Finca El Águila	José Federico Apostolo	1	0								#N/A	#N/A	#N/A	13.94183	-89.52234	#N/A							
106	SFC-F-01288	SFC-F-00950	San Rafael	Josè Rafael Molina Portillo	1	0	Santa Ana	Santa Ana	Flor Amarilla Arriba	1	12.6	11.9	14773	7475	0	0			"Jan 17,13"	Rainforest Alliance CertifiedTM	Certificada	2009	01/17/14			
107	SFC-F-00950	SFC-F-00950	Bonanza	Josè Rafael Molina Portillo	1	0	Santa Ana	Santa Ana	Ochupse Arriba	1	10.88	10.31	7475	7475	0	0			"Jan 17,13"	Rainforest Alliance CertifiedTM	Certificada	2009	01/17/14			
108	SFC-G-05107	#N/A	Irish Coffee	José Roberto Santamaria	1	0	Sonsonate	Apaneca	Apaneca	4	384.3	314.3	244386.37	#N/A	#N/A	#N/A	13.67615	-89.23588	#N/A	Rainforest Alliance CertifiedTM	Certificada	2012	06/22/13			
109	SFC-F-06142	SFC-F-06114	El Recuerdo	Juan Carlos Gregg Meza	1	0	Ahuachapan	Apaneca	El Saitillal	1	7	7	1780.91	3326	0.7	0.7	13.88243	89.81608	"Dec 06,12"	Rainforest Alliance CertifiedTM	Certificada	2012	12/14/13			
110	SFC-F-06113	SFC-F-06114	Nejapa	Juan Carlos Gregg Meza	1	0	Ahuachapan	Apaneca	El Saitillal	1	9	9	32298	3326	0.7	0.7	13.87552	-89.79106	"Dec 06,12"	Rainforest Alliance CertifiedTM	Certificada	2012	12/07/13			
111	SFC-F-06114	SFC-F-06114	Shangrila	Juan Carlos Gregg Meza	1	0	Ahuachapan	Apaneca	El Saitillal	1	17	17	4359	3326	0.7	0.7	13.89663	89.77668	"Dec 06,12"	Rainforest Alliance CertifiedTM	Certificada	2012	12/07/13			
112	SFC-F-06115	SFC-F-06114	San José	Juan Carlos Gregg Meza	1	0	Ahuachapan	Apaneca	El Saitillal	1	12	11	24636	3326	0.7	0.7	13.88117	89.81033	"Dec 06,12"	Rainforest Alliance CertifiedTM	Certificada	2012	12/07/13			
113	SFC-F-03913	#N/A	Miravalles	"La Argentina, S.A. de C.V."	1	0	Ahuachapan	Atiquizaya	Tapacun	1	95.2	77	102272	#N/A	#N/A	#N/A	13.91342	-89.74612	#N/A	Rainforest Alliance CertifiedTM	Certificada	2012	01/15/14			
114	SFC-F-01295	SFC-F-01295	Santa Isabel	"La Gloria, S.A de C.V"	1	0	San Salvador	Nejapa	San Jeronimo Los Planes	1	90.88	81	85739	85739	0.02	0.02	13.75807	-89.25523	"May 29,13"	Rainforest Alliance CertifiedTM	Certificada	2005	05/29/13			
115	SFC-F-2648	SFC-F-02648	San Antonio	La Haciendita	1	0	San Salvador	Nejapa	Conacaste 	1	49	49	72727	72727	0.13	0.13	13.76832	-89.24989	"Dec 09,12"	Rainforest Alliance CertifiedTM	Certificada	2010	12/09/12			
116	SFC-F-01209	SFC-F-01209	Monterrey	LARCAFE S.A de C.V	1	0	Sonsonate	Juayua 	Los Cañales	1	71.76	59.49	59090	59090	1.58	1.58	13.8101	-89.8624	"Jan 21,13"	Rainforest Alliance CertifiedTM	Certificada	2005	01/21/14			
117		#N/A	Finca Las Minas	Las Minas S.A. de C.V.	1	0								#N/A	#N/A	#N/A	13.85482	-89.39445	#N/A							
118	SFC-F-00569	#N/A	Monte Sión 	"Lausanne, S.A. de C.V."	1	0	Ahuachapan	Atiquizaya	Tapacun	1	36	35.65	24744	#N/A	#N/A	#N/A	13.91508	-89.73758	#N/A	Rainforest Alliance CertifiedTM	Certificada	2010	06/23/13			
119	SFC-F-01040	SFC-F-01040	San José Bicard	Leopoldo Bicard	1	0	La Libertad	Talnique	Santa Lucia	1	150.09	70	48634.07	35909	0	0.45	13.67454	89.37493	"Oct 10,12"	Rainforest Alliance CertifiedTM	Certificada 	2003	09/30/13			
120		SFC-F-00710	Argelia	Lombardía S.A. de C.V.	1	0								150000	0	0	13.91493	-89.45022	"Nov 30,12"							
121	SFC-F-01021	SFC-F-01021	Los Pedregales	"Los Pedregales, S.A. de C.V. "	1	0	La Libertad	San Juan Opico	Minas de Plomo	1	84	78.92	40000	35739	0	0	13.85482	-89.39445	"Apr 30,13"	Rainforest Alliance CertifiedTM	Certificada	2006	04/30/13			
122	SFC-F-01270	SFC-F-01270	San Antonio	Luís Antonio Salazar Carcamo	1	0	Santa Ana	Santa Ana	Montañita	1	13.99	13.9	28409	28409	0	0	13.90507	-89.62347	"Feb 08,13"	Rainforest Alliance CertifiedTM	Certificada	2004	02/08/13			
123	SFC-F-01281	#N/A	San Luis	Luís Antonio Salazar Carcamo   	1	0	Santa Ana	Santa Ana	Montañita	1	13.99	13.9	25500	#N/A	#N/A	#N/A	13.90577	-89.62077	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	02/08/13			
124	SFC-F-01276	#N/A	San Jose	Luís Antonio Salazar Carcamo   	1	0	Santa Ana	Santa Ana	Montañita	1	11.89	11.8	19318.18	#N/A	#N/A	#N/A	13.90068	-89.61816	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	02/08/13			
125	SFC-F-01029	#N/A	La Montañita	Luis y Mauricio Martinez	1	0	Santa Ana	Santa Ana	Ayuta	1	8.4	8.05	13636	#N/A	#N/A	#N/A	14.02014	-89.58655	#N/A	Rainforest Alliance CertifiedTM	Certificada	2008	05/22/13			
126	SFC-F-00858	SFC-F-00858	El 98	Manuel Larin y Compañia  	1	0	Sonsonate	Juayua	La Union	1	62.37	53.53	54545	54545	3.38	3.38	13.85044	-89.72639	"Jan 22,13"	Rainforest Alliance CertifiedTM	Certificada	2005	01/21/14			
127	SFC-F-01035	SFC-F-01035	Panorama	Manuel Vicente Hernandez	1	0	Santa Ana	Chalchuapa	El Paste	1	80.5	74.2	67488	120221	0.26	0.26	14.0274	-89.6846	"May 31,13"	Rainforest Alliance CertifiedTM	Certificada	2004	05/31/13			
128	SFC-F-00945	#N/A	Asturias	"Manuel Vicente Hernández, Ana Margarita Hernández
Gutiérrez y Rafael Hernández Gutiérrez"	1	0	Santa Ana	El Congo	San José Las Flores	1	63.35	58.1	37225	#N/A	#N/A	#N/A	14.44849	-89.82648	#N/A	Rainforest Alliance CertifiedTM	Certificada	2008	03/06/13			
129	SFC-F-06219	SFC-F-06219	Finca Los Planes	"María Cecilia Ortiz Herrera de Rodríguez, María Elena Ortiz Herrera de Méndez y José Carlos Ortiz Herrera."	1	0	Sonsonate	Juayua	Juayua	1	57	56.5	6000	60000	0	0			"Jan 10,13"	Rainforest Alliance CertifiedTM	Certificada	2013	01/10/14			
130	SFC-F-00981	SFC-F-00981	Granada	Maria Luisa Martinez	1	0	Santa Ana	Santa Ana	Ayuta	1	41	38.85	65682	46139.55	0	0	14.01972	-89.58318	"Apr 07,13"	Rainforest Alliance CertifiedTM	Certificada	2008	06/14/13			
131	SFC-F-03456	#N/A	Cruz Gorda 2	Mauricio A. Salvaerria 	1	0	Sonsonate	Juayua	"San José La
Majada"	1	40.89	40.89	77272.72	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2011	09/21/13			
132		SFC-F-07278	Santa Lucía	Mario Ernesto Tirelo Hill	1	0								67045.45	0	0	13.90188	-89.55687	"Sep 12,13"							
133	SFC-F-2651	SFC-F-02651	San Blas	"Monte San Blas, S.A. de C.V."	1	0	Santa Ana	Santa Ana	Lomas de San Marcelino	1	140	52.5	37477	37477	0.22	0.22	13.83657	-89.61295	"Dec 09,12"	Rainforest Alliance CertifiedTM	Certificada	2010	12/09/12			
134	SFC-F-00579	#N/A	La Esperanza	"MONTEBRO, S.A. de C.V."	1	0	Usulutan 	Teoapan	La Playa	1	47.62	46.56	60000	#N/A	#N/A	#N/A	13.46418	-88.47504	#N/A	Rainforest Alliance CertifiedTM	Certificada	2007	02/28/13			
135	SFC-F-00580	#N/A	Montebro	"MONTEBRO, S.A. de C.V."	1	0	Usulutan 	Teoapan	La Playa	1	47.75	45.86	39729.09	#N/A	#N/A	#N/A	13.46594	-88.48684	#N/A	Rainforest Alliance CertifiedTM	Certificada	2007	02/28/13			
136	SFC-F-01277	SFC-F-01277	San José El Porvenir/El Pino	"Monterrosal, S.A. de C.V."	1	0	La Libertad	Santa Tecla	Los Amates	1	123.8	121	72011	72011	0.72	0.72	13.67173	-89.33663	"Dec 31,12"	Rainforest Alliance CertifiedTM	Certificada	2006	12/31/13			
137	SFC-F-02744	SFC-F-02744	Bella Vista	"Moore y Cia, S.A. de C.V."	1	0	San Salvador	Apopa	Guadalupe	1	147	136.5	181818.18	181818	0.74	0.74	13.7622	-89.235	"Jan 11,13"	Rainforest Alliance CertifiedTM	Certificada	2011	10/31/13			
138	SFC-F-01057	SFC-F-01057	Sierra Nevada	"NEUMEZ, S.A. DE C.V."	1	0	Sonsonate	Juayua	Los Naranjos	1	67.92	56.07	117397	50818	1.8	1.8	13.89018	-89.67769	"May 31,13"	Rainforest Alliance CertifiedTM	Certificada	2005	05/31/13			
139	SFC-F-05278	SFC-F-01218	Normandía	"Normandía, S.A. de C.V."	1	0	La Libertad	San Juan Opico	Minas de Plomo	1	87.26	44.3	15787	17989	0	0	13.86789	-89.39659	"Apr 30,13"	Rainforest Alliance CertifiedTM	Certificada	2006	04/30/13			
140	SFC-F-01702	SFC-F-01182	La Avila	"Ortiz Barriere, S.A. de C.V."	1	0	Usulutan 	Santiago de Maria	El Tigre	1	22.4	21.4	21353	90909	0.4	0.4	13.46858	-89.43317	"Dec 31,12"	Rainforest Alliance CertifiedTM	Certificada	2010	02/02/14			
141	SFC-F-01701	SFC-F-01182	La Primavera	"Ortiz Barriere, S.A. de C.V."	1	0	Usulutan 	Santiago de Maria	El Tigre	1	36.4	34.3	39545.45	90909	0.4	0.4	13.48176	-88.43722	"Dec 31,12"	Rainforest Alliance CertifiedTM	Certificada	2010	02/02/14			
142	SFC-F-01182	SFC-F-01182	Las Mercedes 	"Ortiz Barriere, S.A. de C.V."	1	0	Usulutan 	Santiago de Maria	El Tigre	1	113	104	87045	90909	0.4	0.4	13.47183	-88.47772	"Dec 31,12"	Rainforest Alliance CertifiedTM	Certificada	2006	12/31/13			
143	SFC-F-04165	SFC-F-04165	Santa Juana	"PACVIl, S.A. de C.V."	1	0	Santa Ana	Chalchuapa	Buenos Aires	1	10	10	23652	19415	0	0	13.89806	-89.64663	"Feb 27,13"	Rainforest Alliance CertifiedTM	Certificada	2012	02/27/13			
144	SFC-F-01159	SFC-F-01159	La Gloria	"PALMEROLAS, S.A. de C.V.       "	1	0	Ahuachapan	Concepcion de Ataco	Shucutitan 	1	105.31	84	63636	55890	0.25	0.25	13.83204	-89.83397	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2006	01/31/13			
145	SFC-F-03439	SFC-F-03439	Villa Ciprés	"Pretoria, S.A. de C.V."	1	0	Ahuachapan	Apaneca	San Ramoncito	1	10.71	10.71	22727.27	22727	0	0	13.86505	-89.82428	"Aug 18,13"	Rainforest Alliance CertifiedTM	Certificada	2011	08/18/13			
146		#N/A	Finca Cruz Gorda 2	"Pretoria, S. A. de C. V."	1	0								#N/A	#N/A	#N/A	13.87072	-89.70217	#N/A							
147	SFC-C-02526	SFC-G-02566	Beneficio San Luis Atiquizaya	"PRIETO, S.A. DE C.V."	0	1	Ahuachapan	Atiquizaya	Atiuizaya	1	N/A	N/A	N/A	761526	0.63	0.63	13.70273	-89.23447	"Nov 16,12"	Rainforest Alliance CertifiedTM	CdC	2010	11/02/11			
148	SFC-C-02527	SFC-G-02566	Beneficio San Luis Moncagua	"PRIETO, S.A. DE C.V."	0	1	San Miguel 	Moncagua	Moncagua	1	N/A	N/A	N/A	761526	0.63	0.63			"Nov 16,12"	Rainforest Alliance CertifiedTM	CdC	2010	11/02/11			
149	SFC-G-02566	SFC-G-02566	GRUPO PRIETO	"PRIETO, S.A. DE C.V."	1	0	Santa Ana	Chlchuapa	Los Naranjos	11	1233	1050	761256	761526	0.63	0.63	13.70273	-89.23447	"Nov 16,12"	Rainforest Alliance CertifiedTM	Certificada	2010	11/16/13			
150	SFC-F-01275	SFC-F-01275	San Francisco	"Promotora Sabor, S.A. de C.V     "	1	0	Sonsonate	Juayua	Buenos Aires	1	238	191.8	209091	250000	0.44	0.44	13.88431	-89.72385	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2006	01/31/13			
151		SFC-F-00353	Alcázar	Rafael Antonio Hernández Gutiérrez	1	0								26996	0	0	13.92415	-89.66531	"May 17,13"							
152	SFC-F-00998	SFC-F-00998	La Florida	Rafael Arturo Meza	1	0	Sonsonate	Juayua	Los Naranjos	1	34.3	26.1	65156	21608	1.86	1.86	13.88816	-89.67769	"May 31,13"	Rainforest Alliance CertifiedTM	Certificada	2005	05/31/13			
153	SFC-F-2647	SFC-F-02647	Renacimiento	"Renacimiento, S.A. de C.V."	1	0	San Salvador	Nejapa	San Geronimo	1	79.23	75.6	40909	40909	0.64	0.64	13.75711	-89.25526	"Oct 31,12"	Rainforest Alliance CertifiedTM	Certificada	2010	12/09/13			
154	SFC-F-01050	SFC-F-01050	Santa Isabel	Roberto Samuel Ulloa Villanova	1	0	Santa Ana	Santa Ana	Flor Amarilla Arriba	1	31.5	30.8	52273	52273	0.53	0.53	13.91586	-89.5702	"Oct 14,12"	Rainforest Alliance CertifiedTM	Certificada	2007	10/14/13			
155	SV06-SN-1238-CO	SFC-F-01018	Finca Los Cedros	Rosa María Larín de Liebes	1	0	La libertad	Colon	El Manguito	1	186.06	155	101318	81818	0.44	0.44	13.6837	-89.32433	"Jan 26,13"	Rainforest Alliance CertifiedTM	Certificada	2006	01/26/13			
156	SFC-F-00711	SFC-F-00711	Argentina	Salvador Gerardo Cornejo	1	0	Ahuachapan	Concepcion de Ataco	Los Tablones	1	118.65	115.5	93182	86563	0.66	0.66	13.5121	-89.51124	"Feb 16,13"	Rainforest Alliance CertifiedTM	Certificada	2009	02/17/13			
157	SFC-F-00742    	SFC-F-00742	Bosque Lya	SAN EDUARDO S.A.	1	0	Santa Ana	Chalchuapa	Las Cruces	1	131.5	77	54545.45	54545	0.85	0.85	13.8931	-89.66251	"Nov 08,12"	Rainforest Alliance CertifiedTM	Certificada	2009	11/08/13			
158	SFC-F-01290	SFC-F-01290	Santa Cecilia	"Santa Cecilia, S.A. de C.V."	1	0	La Libertad	Comasagua	El Conacaste	1	52.7	44	37032	37032	0	0.41	13.62625	-89.36673	"Oct 31,12"	Rainforest Alliance CertifiedTM	Certificada	2006	10/31/13			
159	SFC-F-01038	#N/A	San Antonio	"Saros Inversiones, S.A. de C.V. "	1	0	La Libertad	Comasagua	El Rosario	1	88.67	38.5	40909.09	#N/A	#N/A	#N/A	13.62066	-89.34159	#N/A	Rainforest Alliance CertifiedTM	Certificada	2006	07/31/13			
160	SFC-G-04187	SFC-G-02779	Fincas del Cacahuatique	"Sociedad Cooperativa de Cafetaleros de Ciudad Barrios de
R.L."	1	0	San Miguel	Ciudad Barrios	Ciudad Barrios	210	1132.85	971.61	1024510.36	592247	0.82	0.82	13.765874	-88.271758	"Mar 06,13"	Rainforest Alliance CertifiedTM	Certificada	2011	03/06/13			
161	 SFC-F-00649	#N/A	La Vega	Sociedad Cooperativa de Cafetaleros de Ciudad Barrios de R.L.	1	0	San Miguel	Ciudad Barrios	Guanaste	1	47.65	43.27	64092	#N/A	#N/A	#N/A	13.77594	-88.28711	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	04/30/13			
162	SFC-F-00648	#N/A	La Montaña	Sociedad Cooperativa de Cafetaleros de Ciudad Barrios de R.L.	1	0	San Miguel	Ciudad Barrios	Saa Matias	1	56.7	28.33	68063	#N/A	#N/A	#N/A	13.73827	-88.24127	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	04/30/13			
163	SFC-F-00650	#N/A	Santa Ana	Sociedad Cooperativa de Cafetaleros de Ciudad Barrios de R.L.	1	0	San Miguel	Ciudad Barrios	Guanaste	1	171.7	155.2	24700	#N/A	#N/A	#N/A	13.74166	-88.24125	#N/A	Rainforest Alliance CertifiedTM	Certificada	2005	04/30/13			
164	SFC-G-01309	SFC-G-01309	Sociedad Cooperativa de Cafetaleros de San José de La Majada de R.L.	Sociedad Cooperativa de Cafetaleros de San José de La Majada de R.L.	1	0	Sonsonate	Juayua	San José La Majada	29	964	746	514144	514144	0.76	0.76			"Jan 17,13"	Rainforest Alliance CertifiedTM	Certificada	2005	01/17/14			
165	SV06-SN-1192-CC	#N/A	Beneficio Jose Rutilio Ortiz	Sociedad Cooperativa de Caficultores de Ciudad Barrios.	1	1	San Miguel	Ciudad Barrios	Valle Nuevo	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2006	12/13/11			
166	SFC-C-02641	#N/A	Beneficio Siglo XXI	"Sociedad Cooperativa de Caficultores Siglo XXI, de R.L. de C.V."	0	1	La Libertad	Ciudad Arce	La Reforma	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2007	01/22/12			
167		SFC-F-01286	Finca San Miguel II	Sonia Maria Salazar Arévalo	1	0								47090	0	0	13.91028	-89.61517	"May 01,13"							
168	SFC-F-01285	#N/A	San Miguel 1	Sonia Maria Salazar    	1	0	Santa Ana	Santa Ana	Montañita	1	22.03	19.03	39500	#N/A	#N/A	#N/A	13.91028	-89.61517	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	02/15/13			
169	SFC-F-01302	SFC-F-01302	Santa Teresita	Syncor S.A. de C.V	1	0	Santa Ana	Coatepeque	El Cerro	1	71.98	69.88	127273	127272.73	0	0	13.91291	-89.46321	"Dec 31,10"	Rainforest Alliance CertifiedTM	Certificada	2006	12/31/13			
170	SFC-F-05960	SFC-F-05960	San Jorge	"Tatascamite, S.A. de C.V."	1	0	Santa Ana	Chalchuapa	Las Cruces	1	108.12	108	128800	128800	0.25	0.25	13.91756		"Nov 08,12"	Rainforest Alliance CertifiedTM	Certificada	2012	11/08/13			
171	SFC-C-01699	#N/A	Beneficio Tuxpal	"Tejemet, S.A."	0	1	La Libertad	San Juan Opico	Las Delicias	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2009	02/16/13			
172	SFC-F-01525	SFC-F-01673	El Carmen	"Terrebella, Testanova y El Grano de Oro, S.A. de C.V."	1	0	La libertad	Quezaltepeque	Macance	1	98.09	96.25	135841	135841	0.37	0.37	13.77189	-89.27763	"Oct 31,12"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
173		SFC-F-01299	Santa Rita Los Trozos	"Tipos, S.A. de C.V."	1	0								69978	0	0	13.64159	-89.48833	"Apr 30,13"							
174		#N/A	Finca Santa Gertrudis	"Tomasino, Arévalo Cortez, S. A. de C. V."	1	0								#N/A	#N/A	#N/A	13.62683	-89.37176	#N/A							
175	SFC-F-01291	SFC-F-01291	Santa Cristina	"Tonina, S.A. de C.V."	1	0	La Libertad	Santa Tecla	Victoria	1	45.43	41.97	50000	50000	0.08	0.08	13.69321	-89.3075	"Feb 28,13"	Rainforest Alliance CertifiedTM	Certificada	2004	02/28/13			
176	SFC-F-00859	SFC-F-00859	El Astillero	"Toscana, S.A de C.V"	1	0	La Libertad	Santa Tecla	Los Amates	1	150	98	68182	92403	0	0	13.68297	-89.3326	"Feb 20,13"	Rainforest Alliance CertifiedTM	Certificada	2005	02/20/13			
177	SFC-F-03900	SFC-F-03900	San Pedro	TRAPICHE S.A. de C.V.	1	0	Santa Ana	Santa Ana	Ochupse Arriba	1	27.3	26.6	23545.45	19540	0.71	0.71	13.7624	-89.88569	"Jan 15,13"	Rainforest Alliance CertifiedTM	Certificada	2012	01/15/13			
178	SFC-F-03940	#N/A	La Esperanza	"TRAPICHE, S.A. DE C.V."	1	0	La Libertad	San Juan Opico	Las Granadillas	1	130.2	105	181818.18	#N/A	#N/A	#N/A	13.74722	-89.09578	#N/A	Rainforest Alliance CertifiedTM	Certificada	2012	01/23/13			
179	SFC-F-06517	#N/A	Finca El Carmen 	"TRAPICHE, S.A. DE C.V."	1	0	Santa Ana	El Congo	El Guineo	1	28.17	28	19136.36	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2013	03/07/13			
180	SFC-F-01301	SFC-F-01196	Manizales 	Tristar S.A. de C.V.	1	0	Santa Ana	Coatepeque	El Cerro	1	143.95	83.86	90909	90909.09	0.21	0.32	13.91291	-89.46321	"Dec 31,10"	Rainforest Alliance CertifiedTM	Certificada	2006	12/31/13			
181	SFC-G-05327	SFC-G-05327	Grupo Tropical	"Tropical Farm Management, S.A. de C.V."	1	0	San Salvador	San Salvador	San Salvador	9	337.06	332.64	188920.45	188921	0	0.73	13.842413	-89.846646	"Jul 27,12"	Rainforest Alliance CertifiedTM	Certificada	2012	07/26/13			
182	SFC-C-01630	#N/A	Beneficio Oromontique	"UNEX, S.A. de C.V."	0	1	Usulutan 	Santiago de Maria	Las Playas	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2007	02/05/16			
183	SFC-C-01853	#N/A	Beneficio Montealegre	"UNEX, S.A. de C.V."	0	1	Santa Ana	San Sebastian Salitrillo	Valle Nuevo	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2006	03/31/16			
184	SFC-F-06038	SFC-F-06038	Santa Matilde   	"Unidad Productiva AC, S.A. de C.V."	1	0	La libertad	San Juan Opico	El  Castillo	1	58	42	65954	65954	0.42	0.42	13.90635	-89.44376	"Nov 22,12"	Rainforest Alliance CertifiedTM	Certificada	2012	11/22/13			
185	SFC-C-02791	#N/A	Urrutia´s Estate Coffee S.A. de C.V	Urrutia´s Estate Coffee S.A. de C.V	1	0	Ahuachapan	Atiquizaya	Loma de Alarcon	1	N/A	N/A	N/A	#N/A	#N/A	#N/A	13.80432	-89.86271	#N/A	Rainforest Alliance CertifiedTM	CdC	2006	11/30/11			
186		SFC-F-00658	Bonanza	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
187		SFC-F-00658	Cielito Lindo	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
188		SFC-F-00658	Cobán	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
189		SFC-F-00658	El Desengaño	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
190		SFC-F-00658	El Esfuerzo	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
191		SFC-F-00658	La Amistad	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
192		SFC-F-00658	La Gloria	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
193		SFC-F-00658	Mazatlán	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
194		SFC-F-00658	Miramar	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
195		SFC-F-00658	Mis Economías	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
196		SFC-F-00658	Montebello	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
197		SFC-F-00658	Ojo de Agua	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
198		SFC-F-00658	Río Cauta	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
199		SFC-F-00658	Tikal	Urrutia's Estate Coffee S.A. de C.V.	1	0								23422	0.42	0.42	13.80432	-89.86271	"Nov 06,12"							
200		#N/A	Veracruz		1	0								#N/A	#N/A	#N/A	13.80432	-89.86271	#N/A							
201	SFC-F-01287	SFC-F-01287	San Pablo Buena Vista	Victor Edurado Mencia Alfaro	1	0	La Libertad	Jayaque	San Pablo	1	32	24.32	38700	38700	0.96	0.96	13.69323	-89.43015	"Nov 10,12"	Rainforest Alliance CertifiedTM	Certificada	2005	11/10/13			
202	SFC-F-04016	SFC-F-04016	San Pedro	Victor Edurado Mencia Alfaro y Roberto Samuel Ulloa	1	0	La Libertad	Santa Tecla	El Zacazil	1	70	47	36363	42018	0.36	0.36	13.65819	-89.32389	"Feb 22,13"	Rainforest Alliance CertifiedTM	Certificada	2012	02/22/13			
